feature,density,fire_count,mean_activation_when_active,dead
415,7.442737438830002e-05,12,1.7684365113576253,False
416,0.003504288877449126,565,0.7638683002606957,False
417,3.721368719415001e-05,6,3.9923258423805237,False
418,0.0019351117340958004,312,1.4238771566977868,False
419,0.00021087756076685005,34,10.75401088069467,False
420,0.0005271939019171251,85,1.0215794843785904,False
421,0.0008124988370722751,131,5.541681417072092,False
422,0.0004713733711259001,76,7.9312275130497785,False
423,0.003901234874186726,629,1.2139668733781774,False
424,0.0010233763978391252,165,7.608022938352643,False
425,0.0023072486060373007,372,2.187262386404058,False
426,0.0022142143880519256,357,1.7455634549886239,False
427,0.0003473277471454001,56,14.748507135680743,False
428,0.0012218493962079253,197,1.2145185531093385,False
429,0.00026049581035905006,42,1.4782559247243972,False
430,0.0020653596392753255,333,1.0484387011857361,False
431,0.0024995193232070756,403,1.5241422889841993,False
432,0.003882628030589651,626,1.113288561376139,False
433,0.0019103026092997003,308,1.5296690638189192,False
434,0.0024685079172119505,398,1.175695824263683,False
435,1.8606843597075006e-05,3,2.74837060769399,False
436,0.005185107082384901,836,1.1120694460766167,False
437,0.0028964653199446758,467,0.9642099507105172,False
438,9.303421798537502e-05,15,1.7339484373728433,False
439,0.0071512302224758266,1153,0.7259275745745855,False
440,0.0028034311019593007,452,1.1926729378447067,False
441,5.582053079122501e-05,9,19.86028554704454,False
442,0.0004031482779366251,65,2.5883151604579044,False
443,0.00022948440436392506,37,1.843087328446878,False
444,0.0011598265842176752,187,1.2052279245407187,False
445,0.0004651710899268751,75,1.2302167399724324,False
446,0.0019723254212899504,318,1.6292420082122274,False
447,6.822509318927501e-05,11,2.2912867936221035,False
448,0.0027910265395612506,450,1.2233104281955296,False
449,0.0022948440436392505,370,1.6108220435477592,False
450,0.0057371101090981265,925,0.8016185554298194,False
451,0.004769554242050226,769,1.152424151317661,False
452,0.0016125931117465003,260,1.0162176645719088,False
453,0.006109246981039627,985,0.7708714844611696,False
454,0.00014885474877660004,24,2.464466378092766,False
455,0.07893643281999119,12727,5.2806594068129025,False
456,0.00013024790517952503,21,0.7515965132486253,False
457,0.0022204166692509505,358,10.973918059018738,False
458,0.0025057216044061005,404,2.1547605849728724,False
459,0.0010605900850332753,171,1.54218510159275,False
460,0.00018606843597075004,30,1.4258273720741272,False
461,0.005458007455142001,880,1.0264072667468678,False
462,0.0022390235128480255,361,1.0662440012036267,False
463,0.0016249976741445503,262,1.6304014889338545,False
464,6.202281199025001e-06,1,0.637048602104187,False
465,0.0018978980469016504,306,1.5847584090980829,False
466,0.0005768121515093252,93,6.157461529136986,False
467,0.0008807239302615502,142,4.031978017847303,False
468,0.0013210858953923252,213,1.2407921983602461,False
469,8.062965558732502e-05,13,0.7131068064616277,False
470,0.0035539071270413256,573,1.4870256580815473,False
471,0.03000663644088296,4838,0.7359351619012399,False
472,0.005724705546700076,923,0.9289850272956675,False
473,0.00013645018637855003,22,1.4148559299382297,False
474,0.005123084270394651,826,1.24725753198813,False
475,0.0018110661101153004,292,2.5158371970261615,False
476,0.0007752851498781252,125,6.5861737861633305,False
477,0.0019103026092997003,308,1.9531836618076672,False
478,0.0004341596839317501,70,0.9002487301826477,False
479,0.002760015133566126,445,1.9889154916398981,False
480,0.00016746159237367503,27,3.420622459164372,False
